Date,High,Low,Open,Close,Volume
2018-12-31,1062.99,1033.0387,1057.83,1044.96,1654209
2018-12-28,1064.23,1042,1059.5,1046.68,1718018
2018-12-27,1053.34,1007,1026.2,1052.9,2265984
2018-12-26,1048.45,992.645,997.99,1047.85,2306710
2018-12-24,1012.1195,977.6599,984.32,984.67,1817955
2018-12-21,1037.67,981.19,1032.04,991.25,5225681
2018-12-20,1047.44,1007.8648,1026,1023.58,2654268
2018-12-19,1075.71,1019.43,1047.29,1035.46,2908506
2018-12-18,1059.69,1030.48,1034,1043.41,2179044
2018-12-17,1062.38,1016.63,1047.01,1025.65,2477016
2018-12-14,1071.72,1049.37,1060.02,1051.71,1817086
2018-12-13,1088.42,1064.994,1075.67,1073.54,1249235
2018-12-12,1091.7325,1071.97,1077.08,1073.73,1447393
2018-12-11,1070.4,1050.1,1066.94,1061.65,1691864
2018-12-10,1059.6,1033,1042.94,1053.18,1681872
2018-12-07,1085.03,1039.37,1072.23,1046.58,2127531
2018-12-06,1079.42,1042.48,1045,1078.08,2364581
2018-12-04,1114.24,1060.775,1112.99,1062.47,2271452
2018-12-03,1135,1111.73,1132.16,1116.36,2871472
2018-11-30,1109.65,1083.18,1095.63,1109.65,2978017
2018-11-29,1100.15,1082,1083.53,1094.58,1548754
2018-11-28,1092.8575,1042.95,1057.46,1091.79,2297670
2018-11-27,1066.76,1045.5,1051.34,1052.28,1642116
2018-11-26,1057,1039.77,1044,1055.94,1574870
2018-11-23,1043,1028.52,1033.5,1030.1,708859
2018-11-21,1054.705,1039.455,1045.31,1043.43,1483772
2018-11-20,1037.35,1002.21,1007.29,1030.45,2722040
2018-11-19,1068,1022.8692,1063.39,1027.42,2278839
2018-11-16,1072.44,1054.9,1065.23,1068.27,1762765
2018-11-15,1078.87,1041.2925,1051.46,1071.05,2075606
2018-11-14,1065.79,1041.11,1060,1054.58,1730473
2018-11-13,1066.665,1040.4,1054.81,1047.97,1285845
2018-11-12,1074.1,1040.35,1073.13,1049.36,1690483
2018-11-09,1088.35,1064.26,1084.02,1077.02,1742807
2018-11-08,1108.22,1084.36,1107.3,1094.63,1684536
2018-11-07,1109.9299,1080.59,1083.49,1108.24,2167553
2018-11-06,1079.82,1053.61,1055.02,1069.57,1396959
2018-11-05,1073.35,1034,1072.53,1055.73,2266980
2018-11-02,1098,1067.66,1089,1071.49,2166719
2018-11-01,1099.9,1077.82,1091.4,1085.98,1997706
2018-10-31,1108,1068.2,1068.2,1090.58,3543656
2018-10-30,1050.9,1013.97,1020.01,1049.51,2976821
2018-10-29,1108.83,1007.2,1096.54,1034.73,4058794
2018-10-26,1117,1042.23,1048.33,1083.75,5319801
2018-10-25,1117.82,1075.545,1080.3,1103.59,3609546
2018-10-24,1116.62,1055.06,1115,1057.12,2445306
2018-10-23,1118,1079.01,1091.29,1114.91,1883300
2018-10-22,1121.69,1100,1112.51,1111.37,1354126
2018-10-19,1120.95,1097.03,1103.71,1105.18,2062281
2018-10-18,1132.35,1086.34,1130,1097.91,2304930
2018-10-17,1147,1114,1140,1127.59,1780906
2018-10-16,1136.37,1111.75,1113.48,1133.08,1916401
2018-10-15,1121.795,1098.22,1118,1102.44,1496836
2018-10-12,1125.8299,1095.025,1119.64,1120.54,2465227
2018-10-11,1116.055,1075.89,1079.04,1090.74,3380129
2018-10-10,1137.02,1091.51,1136.4,1092.16,2922345
2018-10-09,1161.55,1144.17,1151.31,1145.17,1684297
2018-10-08,1175.86,1135.4,1160,1155.92,2302699
2018-10-05,1182,1154.32,1176,1167.83,1592399
2018-10-04,1205.9,1163.845,1205.03,1177.07,2327056
2018-10-03,1214.18,1202.15,1212,1211.53,1311457
2018-10-02,1224.52,1199.66,1206.67,1207.64,1993308
2018-10-01,1224.2,1203.19,1213,1208.53,1639347
2018-09-28,1208.45,1197.83,1204.09,1207.08,1755681
2018-09-27,1216.86,1198.05,1200,1207.36,1812840
2018-09-26,1207.24,1185.3969,1193.69,1194.06,1874062
2018-09-25,1196.8599,1174.09,1184.25,1193.89,1657441
2018-09-24,1185.19,1151.5,1159.41,1179.56,1555399
2018-09-21,1196.58,1172.06,1194.92,1172.12,4447045
2018-09-20,1194,1176.25,1180.67,1191.57,1459397
2018-09-19,1176.27,1158.6152,1168.96,1174.27,1296664
2018-09-18,1181.33,1161.425,1162.66,1167.11,1582917
2018-09-17,1181.82,1158.455,1177.77,1159.83,1702702
2018-09-14,1188,1173.52,1188,1177.98,1199146
2018-09-13,1187.86,1169.22,1179.7,1182.14,1997315
2018-09-12,1190.694,1166.16,1182,1171.6,1766951
2018-09-11,1190.94,1165.95,1171.1,1189.99,1461447
2018-09-10,1186.66,1170.61,1184.2,1175.06,1350356
2018-09-07,1188.545,1169.27,1172,1177.59,1632359
2018-09-06,1198.9865,1163.61,1198.57,1183.99,2327317
2018-09-05,1214.87,1175.34,1209.22,1199.1,2694064
2018-09-04,1227.87,1206.56,1222.52,1211.31,2035568
2018-08-31,1252.545,1225.7547,1252.21,1231.8,2113276
2018-08-30,1269.49,1247.21,1263.4,1254.44,1502651
2018-08-29,1267.17,1252.8,1255,1264.65,1843277
2018-08-28,1256.56,1242.97,1255.9,1245.86,1364387
2018-08-27,1257.87,1240.68,1244.14,1256.27,1427768
2018-08-24,1237.4,1221.42,1226,1236.75,1221489
2018-08-23,1235.17,1219.3488,1219.88,1221.16,1228148
2018-08-22,1226.53,1213.22,1214.22,1221.75,1112962
2018-08-21,1232.76,1215.03,1223.02,1217.41,1125388
2018-08-20,1225.91,1208.7,1220.66,1221.95,1104468
2018-08-17,1226.9547,1204,1222.04,1215.85,1651969
2018-08-16,1243.6974,1219.63,1241.99,1224.06,1606960
2018-08-15,1251.98,1226.245,1244.28,1232.22,1850944
2018-08-14,1260.59,1239.54,1252.5,1258.14,1402462
2018-08-13,1265.97,1247.03,1251.2,1248.64,1374810
2018-08-10,1261.2,1247.1635,1259.18,1252.51,1328940
2018-08-09,1271.9648,1260.1011,1262.73,1264.46,1363964
2018-08-08,1271.72,1252.12,1256.72,1261.33,1716392
2018-08-07,1266.08,1251.8,1252.01,1255.84,2122109
2018-08-06,1242.4616,1230.53,1241.61,1237.67,1104740
2018-08-03,1246.52,1229.42,1245.18,1238.16,1061495
2018-08-02,1244.41,1218.06,1218.5,1241.13,1732926
2018-08-01,1245.9003,1224.94,1239.11,1232.99,1848638
2018-07-31,1241.21,1216.19,1231.71,1227.22,1959391
2018-07-30,1252.89,1224.17,1245.05,1230.04,2190131
2018-07-27,1291.44,1244.495,1289.12,1252.89,2415829
2018-07-26,1287.4,1263,1267.18,1285.5,2728721
2018-07-25,1278.24,1249.05,1252.62,1275.94,2514739
2018-07-24,1275,1244.14,1271,1258.15,5377827
2018-07-23,1215.1,1192.01,1195.66,1211,3229832
2018-07-20,1210.765,1196.59,1199.24,1197.88,1895052
2018-07-19,1216.48,1197.7344,1206.65,1199.1,1898533
2018-07-18,1221.59,1204.56,1208.53,1212.91,1943881
2018-07-17,1218.76,1182,1182.74,1213.08,2003793
2018-07-16,1208.71,1193.4011,1203.81,1196.51,1331187
2018-07-13,1210.44,1195.29,1202.8,1204.42,1630345
2018-07-12,1201.986,1173.1,1174.86,1201.26,2203976
2018-07-11,1180.44,1155.3745,1155.62,1171.46,1660757
2018-07-10,1173.5,1162.56,1169.99,1167.14,1058531
2018-07-09,1167.93,1157.2345,1160,1167.28,1076709
2018-07-06,1156.2,1137.24,1141.77,1155.08,1090371
2018-07-05,1144.14,1123.12,1124.6,1141.29,1426446
2018-07-03,1149.91,1114.43,1149.42,1116.28,822394
2018-07-02,1142.99,1106.6,1115.35,1142.11,1160102
2018-06-29,1141.359,1127.02,1132.31,1129.19,1576518
2018-06-28,1134,1106.0724,1112.39,1126.78,1486166
2018-06-27,1146.21,1116.7,1136,1116.94,1710210
2018-06-26,1146.87,1129,1144.14,1132.62,1731587
2018-06-25,1155.99,1119.9,1155,1139.28,2883265
2018-06-22,1175,1159.65,1171.495,1169.29,1710355
2018-06-21,1190.333,1163.48,1185.51,1169.44,2244230
2018-06-20,1201.49,1182.03,1183.3,1184.07,2581349
2018-06-19,1182.81,1161.61,1170.11,1178.69,2361117
2018-06-18,1184.13,1151,1152.69,1183.58,1646603
2018-06-15,1163.9088,1153.69,1159.92,1159.27,2212316
2018-06-14,1165.99,1150.6,1152.21,1160.11,1769321
2018-06-13,1155.64,1143.38,1152.28,1144.23,1708019
2018-06-12,1148.75,1141.02,1141.02,1148.19,1294382
2018-06-11,1147.74,1131.3986,1132.94,1140.9,1231629
